Point,X,Y
1,1541.6470588235293,489.1764705882353
2,1951.764705882353,573.1764705882352
3,2381.6470588235293,533.6470588235294
4,2371.7647058823527,899.2941176470588
5,2347.0588235294117,1319.2941176470588
6,2361.8823529411766,1778.8235294117646
7,2391.529411764706,2134.5882352941176
8,2371.7647058823527,2633.6470588235293
9,2806.5882352941176,2169.176470588235
10,2811.529411764706,2643.529411764706
